SiteCode,EventCode,Length,AveWid
BearRun.Loyalsock,201106.BearRun.Loyalsock,101,4.38
Rock.LittleLoyalsock,201106.Rock.LittleLoyalsock,108,4.06
Conklin.LakeMokoma,201106.Conklin.LakeMokoma,100,3.075
Dutchman.UpperLoyalsock,201106.Dutchman.UpperLoyalsock,100,2.1
Sand.MillMokoma,201106.Sand.MillMokoma,100,2.24
Level.Lick,201106.Level.Lick,108,7.48
Streby.Lick,201106.Streby.Lick,116,3.48
Scar.LowerLoyalsock,201106.Scar.LowerLoyalsock,103,4.9
DrySock.LowerLoyalsock,201106.DrySock.LowerLoyalsock,103,4.42
FlagMarsh.Pigeon,201106.FlagMarsh.Pigeon,100,3.08
Coal.UpperLoyalsock,201106.Coal.UpperLoyalsock,105,1.7
Ellis.UpperLoyalsock,201106.Ellis.UpperLoyalsock,102,3.52
Porter.Hoagland,201106.Porter.Hoagland,101,2.78
Painter.LittleBear,201107.Painter.LittleBear,104,2.64
DryHB.Hoagland,201107.DryHB.Hoagland,105,1.56
Swamp.Hoagland,201107.Swamp.Hoagland,105,2.06
Brunnerdale.Ogdonia,201107.Brunnerdale.Ogdonia,102,2.16
Red.LittleBear,201107.Red.LittleBear,102,2.38
Sherman.UpperLoyalsock,201107.Sherman.UpperLoyalsock,103,2.36
Yellow.LittleLoyalsock,201107.Yellow.LittleLoyalsock,102,2.26
Grandad.Hessler,201107.Grandad.Hessler,102,2
SandSpring.LittleBear,201107.SandSpring.LittleBear,100,1.5
Huckle.Loyalsock,201107.Huckle.Loyalsock,101,1.76
Shingle.Bear,201107.Shingle.Bear,100,2.1
Snake.BearLoyalsock,201107.Snake.BearLoyalsock,100,2.3
Lick.Kings,201107.Lick.Kings,100,1.18
Fall.Hoagland,201107.Fall.Hoagland,101,1.9
Weed.Hoagland,201107.Weed.Hoagland,102,1.98
Lake.Elk,201107.Lake.Elk,101,1.18
Mill.Loyalsock,201107.Mill.Loyalsock,103,2.36
BearRun.Loyalsock,201206.BearRun.Loyalsock,101,2.62
Rock.LittleLoyalsock,201206.Rock.LittleLoyalsock,100,3.8
Yellow.LittleLoyalsock,201206.Yellow.LittleLoyalsock,100,2.2
Coal.UpperLoyalsock,201206.Coal.UpperLoyalsock,106,1.54
Dutchman.UpperLoyalsock,201206.Dutchman.UpperLoyalsock,100,2.12
Mill.Loyalsock,201206.Mill.Loyalsock,102,4.76
Brunnerdale.Ogdonia,201206.Brunnerdale.Ogdonia,104,3.66
DrySock.LowerLoyalsock,201206.DrySock.LowerLoyalsock,101,3.8
Scar.LowerLoyalsock,201206.Scar.LowerLoyalsock,101,2.86
Conklin.LakeMokoma,201206.Conklin.LakeMokoma,101,3.02
Sand.MillMokoma,201206.Sand.MillMokoma,100,1.36
Ellis.UpperLoyalsock,201206.Ellis.UpperLoyalsock,102,2.08
FlagMarsh.Pigeon,201206.FlagMarsh.Pigeon,103,2.42
Sherman.UpperLoyalsock,201206.Sherman.UpperLoyalsock,100,1.92
DryHB.Hoagland,201206.DryHB.Hoagland,100,1.64
Fall.Hoagland,201206.Fall.Hoagland,100,3
Porter.Hoagland,201206.Porter.Hoagland,101,3.1
Weed.Hoagland,201206.Weed.Hoagland,100,2.36
Painter.LittleBear,201206.Painter.LittleBear,100,1.7
Red.LittleBear,201206.Red.LittleBear,100,2.02
SandSpring.LittleBear,201206.SandSpring.LittleBear,100,3.56
Swamp.Hoagland,201206.Swamp.Hoagland,100,4.24
Lake.Elk,201206.Lake.Elk,100,2.04
Lick.Kings,201206.Lick.Kings,100,2.24
Streby.Lick,201206.Streby.Lick,101,2.86
Grandad.Hessler,201206.Grandad.Hessler,102,2.26
Shingle.Bear,201206.Shingle.Bear,100,2.86
Huckle.Loyalsock,201206.Huckle.Loyalsock,102,2.46
Snake.BearLoyalsock,201207.Snake.BearLoyalsock,100,1.95
Level.Lick,201207.Level.Lick,100,3.42
Painter.LittleBear,201306.Painter.LittleBear,100,1.6
Red.LittleBear,201306.Red.LittleBear,100,1.9
SandSpring.LittleBear,201306.SandSpring.LittleBear,100,3.4
Fall.Hoagland,201306.Fall.Hoagland,100,2.9
Lake.Elk,201306.Lake.Elk,100,1.9
Weed.Hoagland,201306.Weed.Hoagland,106,2.2
Conklin.LakeMokoma,201306.Conklin.LakeMokoma,100,2.9
DrySock.LowerLoyalsock,201306.DrySock.LowerLoyalsock,100,3.9
Dutchman.UpperLoyalsock,201306.Dutchman.UpperLoyalsock,100,2.2
Ellis.UpperLoyalsock,201306.Ellis.LoyalsockUpper,100,3.7
Lick.Kings,201306.Lick.Kings,100,2.1
Brunnerdale.Ogdonia,201306.Brunnerdale.Ogdonia,100,3.6
Sherman.UpperLoyalsock,201306.Sherman.UpperLoyalsock,NA,NA
Yellow.LittleLoyalsock,201306.Yellow.LittleLoyalsock,100,2.1
Sand.MillMokoma,201306.Sand.MillMokoma,100,1.4
FlagMarsh.Pigeon,201306.FlagMarsh.Pigeon,100,2.4
Mill.Loyalsock,201306.Mill.Loyalsock,100,4.25
DryHB.Hoagland,201306.DryHB.Hoagland,100,1.7
Porter.Hoagland,201306.Porter.Hoagland,100,3.35
Scar.LowerLoyalsock,201306.Scar.LowerLoyalsock,100,2.8
Swamp.Hoagland,201306.Swamp.Hoagland,100,4.1
Coal.UpperLoyalsock,201306.Coal.UpperLoyalsock,100,1.5
Level.Lick,201306.Level.Lick,102,3.7
Rock.LittleLoyalsock,201306.Rock.LittleLoyalsock,100,3.7
Streby.Lick,201306.Streby.Lick,100,2.7
Huckle.Loyalsock,201306.Huckle.Loyalsock,100,2.6
Shingle.Bear,201306.Shingle.Bear,100,2.7
Snake.BearLoyalsock,201306.Snake.BearLoyalsock,103,1.7
BearRun.Loyalsock,201306.BearRun.Loyalsock,100,2.5
Grandad.Hessler,201306.Grandad.Hessler,100,2.15
Painter.LittleBear,201406.Painter.LittleBear,100,1.7
Red.LittleBear,201406.Red.LittleBear,100,2
Brunnerdale.Ogdonia,201406.Brunnerdale.Ogdonia,100,3.5
DrySock.LowerLoyalsock,201406.DrySock.LowerLoyalsock,100,3.6
Scar.LowerLoyalsock,201406.Scar.LowerLoyalsock,100,2.7
Shingle.Bear,201406.Shingle.Bear,100,2.7
Snake.BearLoyalsock,201406.Snake.BearLoyalsock,100,1.8
Conklin.LakeMokoma,201406.Conklin.LakeMokoma,100,2.9
Level.Lick,201406.Level.Lick,102,3.3
Lick.Kings,201406.Lick.Kings,100,2.1
Streby.Lick,201406.Streby.Lick,100,2.7
Yellow.LittleLoyalsock,201406.Yellow.LittleLoyalsock,100,2.1
DryHB.Hoagland,201406.DryHB.Hoagland,100,1.5
Swamp.Hoagland,201406.Swamp.Hoagland,101,4.1
Mill.Loyalsock,201406.Mill.Loyalsock,100,4.5
Sand.MillMokoma,201406.Sand.MillMokoma,100,1.2
Dutchman.UpperLoyalsock,201406.Dutchman.UpperLoyalsock,100,2.1
Ellis.UpperLoyalsock,201406.Ellis.UpperLoyalsock,100,2
FlagMarsh.Pigeon,201406.FlagMarsh.Pigeon,100,2.3
Sherman.UpperLoyalsock,201406.Sherman.UpperLoyalsock,100,1.9
Grandad.Hessler,201406.Grandad.Hessler,100,2.1
Huckle.Loyalsock,201406.Huckle.Loyalsock,100,2.2
Fall.Hoagland,201406.Fall.Hoagland,100,2.9
Porter.Hoagland,201406.Porter.Hoagland,100,3
Weed.Hoagland,201406.Weed.Hoagland,100,2.2
Lake.Elk,201406.Lake.Elk,100,2.2
SandSpring.LittleBear,201406.SandSpring.LittleBear,100,3.4
Coal.UpperLoyalsock,201406.Coal.UpperLoyalsock,100,1.4
Rock.LittleLoyalsock,201406.Rock.LittleLoyalsock,100,3.6
BearRun.Loyalsock,201406.BearRun.Loyalsock,100,1.6
Porter.Hoagland,201506.Porter.Hoagland,100,3.2
Scar.LowerLoyalsock,201506.Scar.LowerLoyalsock,100,2.9
Swamp.Hoagland,201506.Swamp.Hoagland,101,3.8
Brunnerdale.Ogdonia,201506.Brunnerdale.Ogdonia,100,3.4
DryHB.Hoagland,201506.DryHB.Hoagland,100,1.8
Painter.LittleBear,201506.Painter.LittleBear,100,1.7
Red.LittleBear,201506.Red.LittleBear,100,1.9
SandSpring.LittleBear,201506.SandSpring.LittleBear,100,3.2
Conklin.LakeMokoma,201506.Conklin.LakeMokoma,100,3.1
Ellis.UpperLoyalsock,201506.Ellis.Loyalsock,101,3.8
FlagMarsh.Pigeon,201506.FlagMarsh.Pigeon,100,2.3
Sand.MillMokoma,201506.Sand.MillMokoma,100,1.1
Sherman.UpperLoyalsock,201506.Sherman.UpperLoyalsock,100,2.1
Grandad.Hessler,201506.Grandad.Hessler,100,2.1
Lick.Kings,201506.Lick.Kings,100,2.2
Shingle.Bear,201506.Shingle.Bear,100,2.8
Snake.BearLoyalsock,201506.Snake.BearLoyalsock,100,1.8
Rock.LittleLoyalsock,201506.Rock.LittleLoyalsock,100,3.5
DrySock.LowerLoyalsock,201506.DrySock.LowerLoyalsock,100,3.9
Lake.Elk,201506.Lake.Elk,100,1.7
Level.Lick,201506.Level.Lick,100,3.5
Streby.Lick,201506.Streby.Lick,100,2.9
Yellow.LittleLoyalsock,201506.Yellow.LittleLoyalsock,100,2.6
Dutchman.UpperLoyalsock,201506.Dutchman.UpperLoyalsock,100,2.06
Fall.Hoagland,201506.Fall.Hoagland,100,2.7
Huckle.Loyalsock,201506.Huckle.Loyalsock,101,2.5
Mill.Loyalsock,201506.Mill.Loyalsock,100,3.4
Weed.Hoagland,201506.Weed.Hoagland,100,2.3
BearRun.Loyalsock,201506.BearRun.Loyalsock,100,2.3
Coal.UpperLoyalsock,201506.Coal.UpperLoyalsock,100,1.6
Conklin.LakeMokoma,201606.Conklin.LakeMokoma,100,3.1
Sand.MillMokoma,201606.Sand.MillMokoma,100,1.1
DrySock.LowerLoyalsock,201606.DrySock.LowerLoyalsock,100,3.9
Dutchman.UpperLoyalsock,201606.Dutchman.UpperLoyalsock,100,2.2
Ellis.UpperLoyalsock,201606.Ellis.UpperLoyalsock,100,3.52
FlagMarsh.Pigeon,201606.FlagMarsh.Pigeon,100,2.3
Sherman.UpperLoyalsock,201606.Sherman.UpperLoyalsock,100,2.1
Brunnerdale.Ogdonia,201606.Brunnerdale.Ogdonia,100,3.4
DryHB.Hoagland,201606.DryHB.Hoagland,100,1.8
Level.Lick,201606.Level.Lick,100,3.5
Porter.Hoagland,201606.Porter.Hoagland,100,3.2
Streby.Lick,201606.Streby.Lick,100,2.9
Mill.Loyalsock,201606.Mill.Loyalsock,100,3.4
Scar.LowerLoyalsock,201606.Scar.LowerLoyalsock,100,2.9
Lick.Kings,201606.Lick.Kings,100,2.2
Rock.LittleLoyalsock,201606.Rock.LittleLoyalsock,100,3.5
Grandad.Hessler,201606.Grandad.Hessler,100,2.1
Shingle.Bear,201606.Shingle.Bear,100,2.8
Snake.BearLoyalsock,201606.Snake.BearLoyalsock,100,1.8
BearRun.Loyalsock,201606.BearRun.Loyalsock,100,2.3
Huckle.Loyalsock,201606.Huckle.Loyalsock,100,2.5
Painter.LittleBear,201606.Painter.LittleBear,100,1.7
Red.LittleBear,201606.Red.LittleBear,100,1.9
SandSpring.LittleBear,201606.SandSpring.LittleBear,100,3.2
Coal.UpperLoyalsock,201606.Coal.UpperLoyalsock,100,1.6
Fall.Hoagland,201606.Fall.Hoagland,100,2.7
Swamp.Hoagland,201606.Swamp.Hoagland,105,3.8
Weed.Hoagland,201606.Weed.Hoagland,100,2.3
Lake.Elk,201606.Lake.Elk,100,1.7
Yellow.LittleLoyalsock,201606.Yellow.LittleLoyalsock,100,2.6
Sand.MillMokoma,201706.Sand.MillMokoma,103,3.98
Lick.Kings,201706.Lick.Kings,100,2.9
Painter.LittleBear,201706.Painter.LittleBear,101,3.02
Red.LittleBear,201706.Red.LittleBear,100,4.02
SandSpring.LittleBear,201706.SandSpring.LittleBear,100,3.04
Scar.LowerLoyalsock,201706.Scar.LowerLoyalsock,100,5.46
Brunnerdale.Ogdonia,201706.Brunnerdale.Ogdonia,100,3.16
Conklin.LakeMokoma,201706.Conklin.LakeMokoma,100,4.4
DrySock.LowerLoyalsock,201706.DrySock.LowerLoyalsock,100,6.44
Dutchman.UpperLoyalsock,201706.Dutchman.UpperLoyalsock,100,3.38
Huckle.Loyalsock,201706.Huckle.Loyalsock,110,3.38
BearRun.Loyalsock,201706.BearRun.Loyalsock,100,3.16
Coal.UpperLoyalsock,201706.Coal.UpperLoyalsock,100,2.32
Mill.Loyalsock,201706.Mill.Loyalsock,103,3.64
Porter.Hoagland,201706.Porter.Hoagland,100,3.9
Rock.LittleLoyalsock,201706.Rock.LittleLoyalsock,103,4.22
DryHB.Hoagland,201706.DryHB.Hoagland,100,1.36
Ellis.UpperLoyalsock,201706.Ellis.UpperLoyalsock,102,3.7
FlagMarsh.Pigeon,201706.FlagMarsh.Pigeon,100,2.14
Level.Lick,201706.Level.Lick,100,4.22
Streby.Lick,201706.Streby.Lick,100,4.34
Yellow.LittleLoyalsock,201706.Yellow.LittleLoyalsock,100,3.5
Fall.Hoagland,201706.Fall.Hoagland,100,4.16
Lake.Elk,201706.Lake.Elk,100,2.8
Sherman.UpperLoyalsock,201706.Sherman.UpperLoyalsock,100,2.58
Swamp.Hoagland,201706.Swamp.Hoagland,100,3.36
Weed.Hoagland,201706.Weed.Hoagland,100,2.46
Grandad.Hessler,201706.Grandad.Hessler,100,2.4
Shingle.Bear,201706.Shingle.Bear,100,2.96
Snake.BearLoyalsock,201706.Snake.BearLoyalsock,100,3.24
Level.Lick,201806.Level.Lick,103,3.06
Scar.LowerLoyalsock,201806.Scar.LowerLoyalsock,100,4.4
Streby.Lick,201806.Streby.Lick,100,2.72
DryHB.Hoagland,201806.DryHB.Hoagland,100,1.46
Huckle.Loyalsock,201806.Huckle.Loyalsock,100,3.12
Lick.Kings,201806.Lick.Kings,100,2.18
Porter.Hoagland,201806.Porter.Hoagland,100,3.2
Swamp.Hoagland,201806.Swamp.Hoagland,100,3.44
Conklin.LakeMokoma,201806.Conklin.LakeMokoma,101,3.46
Dutchman.UpperLoyalsock,201806.Dutchman.UpperLoyalsock,100,2.24
Ellis.UpperLoyalsock,201806.Ellis.UpperLoyalsock,100,3.64
FlagMarsh.Pigeon,201806.FlagMarsh.Pigeon,100,2.08
Sand.MillMokoma,201806.Sand.MillMokoma,100,1.28
Sherman.UpperLoyalsock,201806.Sherman.UpperLoyalsock,100,2.1
Brunnerdale.Ogdonia,201806.Brunnerdale.Ogdonia,100,2.54
Fall.Hoagland,201806.Fall.Hoagland,104,3.12
Lake.Elk,201806.Lake.Elk,100,1.74
Rock.LittleLoyalsock,201806.Rock.LittleLoyalsock,100,3.28
Weed.Hoagland,201806.Weed.Hoagland,100,1.84
BearRun.Loyalsock,201806.BearRun.Loyalsock,101,2.16
Coal.UpperLoyalsock,201806.Coal.UpperLoyalsock,105,2.06
DrySock.LowerLoyalsock,201806.DrySock.LowerLoyalsock,100,3.68
Mill.Loyalsock,201806.Mill.Loyalsock,100,3.48
Painter.LittleBear,201806.Painter.LittleBear,100,2.52
Red.LittleBear,201806.Red.LittleBear,100,2.48
SandSpring.LittleBear,201806.SandSpring.LittleBear,100,1.44
Grandad.Hessler,201806.Grandad.Hessler,100,2.02
Shingle.Bear,201806.Shingle.Bear,100,2.34
Snake.BearLoyalsock,201806.Snake.BearLoyalsock,100,1.88
Yellow.LittleLoyalsock,201806.Yellow.LittleLoyalsock,102,1.86
Brunnerdale.Ogdonia,201906.Brunnerdale.Ogdonia,100,3.92
Scar.LowerLoyalsock,201906.Scar.LowerLoyalsock,102,5.02
Sand.MillMokoma,201906.Sand.MillMokoma,100,1.96
Grandad.Hessler,201906.Grandad.Hessler,100,3.02
Red.LittleBear,201906.Red.LittleBear,102,4.34
SandSpring.LittleBear,201906.SandSpring.LittleBear,100,4.36
BearRun.Loyalsock,201906.BearRun.Loyalsock,100,5.3
Rock.LittleLoyalsock,201906.Rock.LittleLoyalsock,105,4.08
Yellow.LittleLoyalsock,201906.Yellow.LittleLoyalsock,100,4.2
Coal.UpperLoyalsock,201906.Coal.UpperLoyalsock,100,2.12
Conklin.LakeMokoma,201906.Conklin.LakeMokoma,100,3.96
DrySock.LowerLoyalsock,201906.DrySock.LowerLoyalsock,100,5.74
Dutchman.UpperLoyalsock,201906.Dutchman.UpperLoyalsock,100,3.9
Ellis.UpperLoyalsock,201906.Ellis.UpperLoyalsock,100,4.06
FlagMarsh.Pigeon,201906.FlagMarsh.Pigeon,100,2.08
Mill.Loyalsock,201906.Mill.Loyalsock,100,4.48
Sherman.UpperLoyalsock,201906.Sherman.UpperLoyalsock,100,3.84
DryHB.Hoagland,201906.DryHB.Hoagland,100,3.08
Level.Lick,201906.Level.Lick,100,6.16
Lick.Kings,201906.Lick.Kings,100,3.22
Porter.Hoagland,201906.Porter.Hoagland,100,3.96
Streby.Lick,201906.Streby.Lick,100,2.72
Swamp.Hoagland,201906.Swamp.Hoagland,100,4.24
Huckle.Loyalsock,201906.Huckle.Loyalsock,100,4.28
Lake.Elk,201906.Lake.Elk,100,3.2
Painter.LittleBear,201906.Painter.LittleBear,100,5.86
Shingle.Bear,201906.Shingle.Bear,100,4.06
Snake.BearLoyalsock,201906.Snake.BearLoyalsock,100,3.02
Fall.Hoagland,201906.Fall.Hoagland,100,6.28
Weed.Hoagland,201906.Weed.Hoagland,100,4.34
Conklin.LakeMokoma,202006.Conklin.LakeMokoma,100,1.8
Dutchman.UpperLoyalsock,202006.Dutchman.UpperLoyalsock,101,2.52
Mill.Loyalsock,202006.Mill.Loyalsock,100,3.22
Sand.MillMokoma,202006.Sand.MillMokoma,100,0.88
Ellis.UpperLoyalsock,202006.Ellis.UpperLoyalsock,103,3.84
FlagMarsh.Pigeon,202006.FlagMarsh.Pigeon,100,2.18
Sherman.UpperLoyalsock,202006.Sherman.UpperLoyalsock,101,4.18
Yellow.LittleLoyalsock,202006.Yellow.LittleLoyalsock,100,3.44
BearRun.Loyalsock,202006.BearRun.Loyalsock,101,2.68
Coal.UpperLoyalsock,202006.Coal.UpperLoyalsock,105,2.12
Lake.Elk,202006.Lake.Elk,100,4.04
Streby.Lick,202006.Streby.Lick,100,3.16
Brunnerdale.Ogdonia,202006.Brunnerdale.Ogdonia,100,3.12
Rock.LittleLoyalsock,202006.Rock.LittleLoyalsock,103,3.5
Scar.LowerLoyalsock,202006.Scar.LowerLoyalsock,101,3.52
Painter.LittleBear,202006.Painter.LittleBear,100,3.04
Red.LittleBear,202006.Red.LittleBear,100,2.24
SandSpring.LittleBear,202006.SandSpring.LittleBear,100,2.76
DryHB.Hoagland,202006.DryHB.Hoagland,100,3
DrySock.LowerLoyalsock,202006.DrySock.LowerLoyalsock,100,4.68
Grandad.Hessler,202006.Grandad.Hessler,100,4.16
Shingle.Bear,202006.Shingle.Bear,100,3.2
Swamp.Hoagland,202006.Swamp.Hoagland,100,4.04
Level.Lick,202006.Level.Lick,100,3.6
Porter.Hoagland,202006.Porter.Hoagland,100,3.28
Snake.BearLoyalsock,202006.Snake.BearLoyalsock,100,2.82
Fall.Hoagland,202006.Fall.Hoagland,103,5.02
Huckle.Loyalsock,202006.Huckle.Loyalsock,100,2.46
Lick.Kings,202006.Lick.Kings,100,1.54
Weed.Hoagland,202006.Weed.Hoagland,105,2.92
Painter.LittleBear,202106.Painter.LittleBear,100,5.78
Red.LittleBear,202106.Red.LittleBear,100,4.3
DryHB.Hoagland,202106.DryHB.Hoagland,100,3.42
Coal.UpperLoyalsock,202106.Coal.UpperLoyalsock,100,1.36
Rock.LittleLoyalsock,202106.Rock.LittleLoyalsock,100,3.22
Grandad.Hessler,202106.Grandad.Hessler,100,3.12
