SiteCode,Year,MarAprHighest_TempC,MarAprLowest_TempC,MarAprAvgMin,MarAprAvgMax,Avg_MarApr_TempC,PropLogL3MarApr,PropLogL5MarApr,PropLogL4.5MarApr
Bear.Loyalsock,2021,15.378,0.01,4.364590163934426,7.419901639344262,5.734177424863388,0.27117486338797814,0.43084016393442626,0.3915642076502732
Brunnerdale.Ogdonia,2021,12.207,0.121,4.407016393442623,6.585721311475409,5.426903517759563,0.24863387978142076,0.4342554644808743,0.38900273224043713
Dry.Hoagland,2017,14.996,0.232,4.788524590163934,6.781655737704918,5.6954492827868854,0.30703551912568305,0.47096994535519127,0.41478825136612024
Dry.Hoagland,2018,10.357,0.232,3.103754098360656,4.821852459016394,3.9007640027322403,0.4257172131147541,0.7254098360655737,0.6603483606557377
Dry.Hoagland,2021,17.95,-0.887,3.9999016393442623,7.3312622950819675,5.524315915300546,0.26758879781420764,0.45918715846994534,0.4219603825136612
Dutchman.Loyalsock,2021,10.259,0.121,4.14227868852459,5.6861147540983605,4.913175034153006,0.29815573770491804,0.47797131147540983,0.4359631147540984
Ellis.Loyalsock,2021,13.076,0.121,3.885606557377049,6.990918032786885,5.255502390710382,0.28654371584699456,0.45816256830601093,0.4139344262295082
Grandad.Hessler,2021,10.553,1.656,5.7628196721311475,6.968475409836065,6.365293545081967,0.0701844262295082,0.2506830601092896,0.17844945355191258
Level.Lick,2021,11.819,0.121,3.990672131147541,5.9590491803278685,4.90255737704918,0.3193306010928962,0.4889002732240437,0.4532103825136612
Painter.LittleBear,2021,11.334,2.195,5.9344754098360655,7.4027540983606555,6.633285177595629,0.02424863387978142,0.24692622950819673,0.18032786885245902
Red.LittleBear,2021,10.553,1.656,5.488573770491803,6.811901639344263,6.144615607923497,0.0471311475409836,0.31898907103825136,0.22148224043715847
SandSpring.LittleBear,2021,10.161,2.088,5.994737704918033,7.113327868852459,6.55344518442623,0.010075136612021859,0.17435109289617487,0.1051912568306011
Sherman.Loyalsock,2021,12.98,0.343,4.119459016393443,7.0867868852459015,5.390179132513661,0.31437841530054644,0.4468920765027322,0.41154371584699456
Shingle.Bear,2021,10.748,0.232,4.989163934426229,6.464098360655738,5.729348531420765,0.14771174863387979,0.38900273224043713,0.3162568306010929
Streby.Lick,2021,13.076,0.121,4.364065573770492,6.738852459016393,5.485444672131147,0.28005464480874315,0.44091530054644806,0.4067622950819672
