,EventCode,Adult,YOY,TotalCount,PerA,PerY,RatAY
1,201906.BearRun.Loyalsock,30,108,138,0.217391304,0.782608696,-0.565217391
2,201906.Brunnerdale.Ogdonia,19,82,101,0.188118812,0.811881188,-0.623762376
3,201906.Coal.UpperLoyalsock,3,74,77,0.038961039,0.961038961,-0.922077922
4,201906.Conklin.LakeMokoma,7,3,10,0.7,0.3,0.4
5,201906.DryHB.Hoagland,9,11,20,0.45,0.55,-0.1
6,201906.DrySock.LowerLoyalsock,2,24,26,0.076923077,0.923076923,-0.846153846
7,201906.Dutchman.UpperLoyalsock,4,6,10,0.4,0.6,-0.2
8,201906.Ellis.UpperLoyalsock,4,9,13,0.307692308,0.692307692,-0.384615385
9,201906.Fall.Hoagland,5,33,38,0.131578947,0.868421053,-0.736842105
10,201906.FlagMarsh.Pigeon,27,45,72,0.375,0.625,-0.25
11,201906.Grandad.Hessler,16,30,46,0.347826087,0.652173913,-0.304347826
12,201906.Huckle.Loyalsock,11,38,49,0.224489796,0.775510204,-0.551020408
13,201906.Lake.Elk,5,5,10,0.5,0.5,0
14,201906.Level.Lick,6,134,140,0.042857143,0.957142857,-0.914285714
15,201906.Lick.Kings,48,80,128,0.375,0.625,-0.25
16,201906.Mill.Loyalsock,18,40,58,0.310344828,0.689655172,-0.379310345
17,201906.Painter.LittleBear,11,20,31,0.35483871,0.64516129,-0.290322581
18,201906.Porter.Hoagland,3,8,11,0.272727273,0.727272727,-0.454545455
19,201906.Red.LittleBear,41,72,113,0.362831858,0.637168142,-0.274336283
20,201906.Rock.LittleLoyalsock,41,55,96,0.427083333,0.572916667,-0.145833333
21,201906.Sand.MillMokoma,1,7,8,0.125,0.875,-0.75
22,201906.SandSpring.LittleBear,24,66,90,0.266666667,0.733333333,-0.466666667
23,201906.Scar.LowerLoyalsock,17,195,212,0.080188679,0.919811321,-0.839622642
24,201906.Sherman.UpperLoyalsock,5,5,10,0.5,0.5,0
25,201906.Shingle.Bear,4,20,24,0.166666667,0.833333333,-0.666666667
26,201906.Snake.BearLoyalsock,18,35,53,0.339622642,0.660377358,-0.320754717
27,201906.Streby.Lick,16,13,29,0.551724138,0.448275862,0.103448276
28,201906.Swamp.Hoagland,1,20,21,0.047619048,0.952380952,-0.904761905
29,201906.Weed.Hoagland,0,30,30,0,1,-1
30,201906.Yellow.LittleLoyalsock,33,14,47,0.70212766,0.29787234,0.404255319
31,202006.BearRun.Loyalsock,49,153,202,0.242574257,0.757425743,-0.514851485
32,202006.Brunnerdale.Ogdonia,24,58,82,0.292682927,0.707317073,-0.414634146
33,202006.Coal.UpperLoyalsock,19,111,130,0.146153846,0.853846154,-0.707692308
34,202006.Conklin.LakeMokoma,4,11,15,0.266666667,0.733333333,-0.466666667
35,202006.DryHB.Hoagland,11,1,12,0.916666667,0.083333333,0.833333333
36,202006.DrySock.LowerLoyalsock,8,31,39,0.205128205,0.794871795,-0.58974359
37,202006.Dutchman.UpperLoyalsock,6,9,15,0.4,0.6,-0.2
38,202006.Ellis.UpperLoyalsock,18,1,19,0.947368421,0.052631579,0.894736842
39,202006.Fall.Hoagland,5,3,8,0.625,0.375,0.25
40,202006.FlagMarsh.Pigeon,50,101,151,0.331125828,0.668874172,-0.337748344
41,202006.Grandad.Hessler,28,63,91,0.307692308,0.692307692,-0.384615385
42,202006.Huckle.Loyalsock,42,93,135,0.311111111,0.688888889,-0.377777778
43,202006.Lake.Elk,5,2,7,0.714285714,0.285714286,0.428571429
44,202006.Level.Lick,44,69,113,0.389380531,0.610619469,-0.221238938
45,202006.Lick.Kings,73,123,196,0.37244898,0.62755102,-0.255102041
46,202006.Mill.Loyalsock,49,54,103,0.475728155,0.524271845,-0.048543689
47,202006.Painter.LittleBear,10,0,10,1,0,1
48,202006.Porter.Hoagland,11,1,12,0.916666667,0.083333333,0.833333333
49,202006.Red.LittleBear,52,56,108,0.481481481,0.518518519,-0.037037037
50,202006.Rock.LittleLoyalsock,74,66,140,0.528571429,0.471428571,0.057142857
51,202006.Sand.MillMokoma,1,17,18,0.055555556,0.944444444,-0.888888889
52,202006.SandSpring.LittleBear,45,33,78,0.576923077,0.423076923,0.153846154
53,202006.Scar.LowerLoyalsock,68,134,202,0.336633663,0.663366337,-0.326732673
54,202006.Sherman.UpperLoyalsock,12,5,17,0.705882353,0.294117647,0.411764706
55,202006.Shingle.Bear,8,23,31,0.258064516,0.741935484,-0.483870968
56,202006.Snake.BearLoyalsock,14,99,113,0.123893805,0.876106195,-0.752212389
57,202006.Streby.Lick,25,20,45,0.555555556,0.444444444,0.111111111
58,202006.Swamp.Hoagland,3,5,8,0.375,0.625,-0.25
59,202006.Weed.Hoagland,24,8,32,0.75,0.25,0.5
60,202006.Yellow.LittleLoyalsock,33,67,100,0.33,0.67,-0.34
61,202106.Coal.UpperLoyalsock,15,0,15,1,0,1
62,202106.DryHB.Hoagland,22,55,77,0.285714286,0.714285714,-0.428571429
63,202106.Grandad.Hessler,29,36,65,0.446153846,0.553846154,-0.107692308
64,202106.Painter.LittleBear,19,5,24,0.791666667,0.208333333,0.583333333
65,202106.Red.LittleBear,67,21,88,0.761363636,0.238636364,0.522727273
66,202106.Rock.LittleLoyalsock,57,7,64,0.890625,0.109375,0.78125
